href,city,buildingType,district,microDistrict,street,buildNumber,rooms,metro,fullSquare,livingSquare,kitchenSquare,floor,floorCount,price

https://valion.ua/properties/961252/,Киев,Квартиры,Шевченковский,Татарка,Печенежская ул.,6,3,Лукьяновская,72 ,42 ,8 ,3,12,2010000
https://valion.ua/properties/949493/,Киев,Квартиры,Днепровский,Березняки,Березняковская ул.,4,3,Левобережная,62.5 ,37 ,7 ,6,9,1340000
https://valion.ua/properties/962705/,Киев,Квартиры,Днепровский,Никольская Слободка,Каховская ул.,60,3,Левобережная,80 ,41 ,16 ,24,26,1790000
https://valion.ua/properties/962492/,Киев,Квартиры,Днепровский,None,Регенераторная ул.,4к1,1,Левобережная,42.3 ,17 ,10 ,2,10,1809000
https://valion.ua/properties/961880/,Киев,Квартиры,Соломенский,Чоколовка,Мартиросяна ул.,4,3,Шулявская,63 ,40 ,7 ,5,9,1509000
https://valion.ua/properties/954365/,Киев,Квартиры,Голосеевский,None,Заболотного Академика ул.,15,1,Теремки,41 ,16 ,12.3 ,17,25,1930000
https://valion.ua/properties/952569/,Киев,Квартиры,Голосеевский,None,Заболотного Академика ул.,15,1,Теремки,50 ,18 ,24 ,7,25,1880000
https://valion.ua/properties/942218/,Киев,Квартиры,Днепровский,Левобережный,Каховская ул.,60,3,Левобережная,74 ,40 ,12 ,24,26,1860000
https://valion.ua/properties/962010/,Киев,Квартиры,Святошинский,None,Олевская ул.,5,1,Академгородок,56.7 ,19.8 ,15.7 ,5,26,1971000
https://valion.ua/properties/955105/,Киев,Квартиры,Днепровский,None,Соборности (Воссоединения) просп.,17,1,Левобережная,21 ,15 ,4 ,11,16,1134000
https://valion.ua/properties/824778/,Киев,Квартиры,Дарницкий,Осокорки,Днепровская набережная,14,3,Осокорки,85 ,40 ,25 ,4,23,4563000
https://valion.ua/properties/962338/,Киев,Квартиры,Дарницкий,Осокорки,Малоземельная ул.,75а,2,Славутич,60 ,45 ,10 ,6,10,2808000
https://valion.ua/properties/961581/,Киев,Квартиры,Днепровский,None,Красноткацкая ул.,43,3,Черниговская,110 ,85 ,14 ,17,21,4407000
https://valion.ua/properties/961572/,Киев,Квартиры,Днепровский,Березняки,Шумского Юрия ул.,3г,2,Левобережная,60 ,30 ,10 ,18,25,2565000
