href,city,buildingType,district,microDistrict,street,buildNumber,rooms,metro,fullSquare,livingSquare,kitchenSquare,floor,floorCount,price
https://valion.ua/properties/959109/,Киев,Квартиры,Деснянский,Троещина,Вигуровский бул.,5,2,None,6,10,1 215 000 грн.
https://valion.ua/properties/960124/,Киев,Квартиры,Подольский,Сырец,Тираспольская ул.,58,1,None,12,16,1 795 500 грн.
https://valion.ua/properties/961062/,Киев,Квартиры,Днепровский,Левобережный,Каховская ул.,60,2,Левобережная,20,26,1 836 000 грн.
https://valion.ua/properties/956864/,Киев,Квартиры,Подольский,Виноградарь,Правды просп.,41г,1,None,10,12,1 777 000 грн.
https://valion.ua/properties/930681/,Киев,Квартиры,Шевченковский,Центр,Златоустовская ул.,27,3,Лукьяновская,16,18,4 300 000 грн.
https://valion.ua/properties/961265/,Киев,Квартиры,Подольский,Виноградарь,Правды просп.,45,1,Оболонь,20,25,1 105 000 грн.
https://valion.ua/properties/961049/,Киев,Квартиры,Днепровский,None,Регенераторная ул.,4,1,Левобережная,2,5,1 863 000 грн.
https://valion.ua/properties/960706/,Киев,Квартиры,Подольский,Виноградарь,Правды просп.,47,1,Оболонь,24,26,1 337 000 грн.
https://valion.ua/properties/958353/,Киев,Квартиры,Шевченковский,Лукьяновка,Зоологическая ул.,2,1,Политехнический институт,1,9,1 080 000 грн.
https://valion.ua/properties/959816/,Киев,Квартиры,Дарницкий,None,Светлая ул.,3д,1,Бориспольская,11,19,1 237 500 грн.
https://valion.ua/properties/948849/,Киев,Квартиры,Шевченковский,Нивки,Победы просп.,67,2,Нивки,15,17,1 566 000 грн.
https://valion.ua/properties/955414/,Киев,Квартиры,Днепровский,None,Соборности (Воссоединения) просп.,17,1,Левобережная,4,15,1 309 500 грн.
https://valion.ua/properties/916727/,Киев,Квартиры,Святошинский,Святошино,Доброхотова Академика ул.,14,1,Академгородок,4,5,432 000 грн.
https://valion.ua/properties/960492/,Киев,Квартиры,Днепровский,None,Регенераторная ул.,4к6,2,Левобережная,7,9,2 133 000 грн.
