,href,city,buildingType,district,microDistrict,street,buildNumber,roomsTotal,metro,totalArea,livingArea,kitchenArea,floor,floorCount,price,longitude,latitude,distance,azimuth,priceMetr
0,https://valion.ua/properties/959109/,Киев,Квартиры,Деснянский,Троещина,Выгуровский бульвар,5,2,None,50.0,30.0,7.0,6,10,1215000,30.611045776247913,50.517312950000004,9725.029646819845,39.54,24300.0
1,https://valion.ua/properties/961267/,Киев,Квартиры,Днепровский,Воскресенка,Перова бульвар,40б,1,Левобережная,28.0,15.0,6.0,3,5,945000,30.594597667312826,50.487084949999996,6512.8663085173,50.59,33750.0
2,https://valion.ua/properties/960124/,Киев,Квартиры,Подольский,Сырец,Тираспольская ул.,58,1,None,42.0,15.0,10.0,12,16,1795500,30.41342633750468,50.481098,8553.914815147036,293.95,42750.0
3,https://valion.ua/properties/961062/,Киев,Квартиры,Днепровский,Левобережный,Каховская ул.,60,2,Левобережная,67.0,32.0,15.0,20,26,1836000,30.5913211,50.4631264,5025.210376928898,73.04,27402.985074626864
4,https://valion.ua/properties/956864/,Киев,Квартиры,Подольский,Виноградарь,Правды проспект,41г,1,None,43.0,15.7,13.7,10,12,1777000,30.426379750000002,50.5014252,8964.46621876783,309.77,41325.58139534884
5,https://valion.ua/properties/930681/,Киев,Квартиры,Шевченковский,Центр,Златоустовская ул.,27,3,None,113.0,85.0,15.0,16,18,4300000,30.4875221,50.4508167,2564.776964188712,272.05,38053.097345132745
6,https://valion.ua/properties/961265/,Киев,Квартиры,Подольский,Виноградарь,Правды проспект,45,1,Оболонь,43.0,14.0,17.0,20,25,1105000,30.4238111,50.503875050000005,9279.085487859777,310.35,25697.674418604653
7,https://valion.ua/properties/961049/,Киев,Квартиры,Днепровский,None,Регенераторная ул.,4,1,Левобережная,44.0,11.0,17.0,2,5,1863000,30.6222181,50.4357289,7182.192557774966,102.77,42340.90909090909
8,https://valion.ua/properties/960706/,Киев,Квартиры,Подольский,Виноградарь,Правды проспект,47,1,Оболонь,45.0,13.0,19.0,24,26,1337000,30.416669499999998,50.5035982,9652.62053042588,308.26,29711.11111111111
9,https://valion.ua/properties/959482/,Киев,Квартиры,Подольский,Виноградарь,Правды проспект,43б,3,Оболонь,83.0,45.0,12.0,20,21,2430000,30.42491674025674,50.50298635,9155.402970429588,310.19,29277.10843373494
10,https://valion.ua/properties/958353/,Киев,Квартиры,Шевченковский,Лукьяновка,Зоологическая ул.,2,1,Политехнический институт,31.5,17.0,3.3,1,9,1080000,30.46095057306683,50.4567033,4512.138748191188,279.56,34285.71428571428
11,https://valion.ua/properties/959816/,Киев,Квартиры,Дарницкий,None,Светлая ул.,3д,1,Бориспольская,44.0,20.0,12.0,11,19,1237500,30.692059415416217,50.3979475,13297.322667136192,115.81,28125.0
12,https://valion.ua/properties/948849/,Киев,Квартиры,Шевченковский,Нивки,Победы проспект,67,2,Нивки,38.0,22.0,10.0,15,17,1566000,30.40613622640488,50.458066099999996,8390.96585747758,276.2,41210.52631578947
13,https://valion.ua/properties/955414/,Киев,Квартиры,Днепровский,None,Соборности проспект,17,1,Левобережная,22.0,15.0,4.0,4,15,1309500,30.61734179987312,50.43464215,6873.916644186287,104.39,59522.72727272727
14,https://valion.ua/properties/916727/,Киев,Квартиры,Святошинский,Святошино,Академика Доброхотова ул.,14,1,Академгородок,22.0,18.0,4.0,4,5,400000,30.364992769287127,50.46292175,11355.555142741663,277.35,18181.81818181818
15,https://valion.ua/properties/960492/,Киев,Квартиры,Днепровский,None,Регенераторная ул.,4к6,2,Левобережная,46.0,11.0,22.0,7,9,2133000,30.6206087,50.4380777,7016.535031428097,100.89,46369.565217391304
16,https://valion.ua/properties/955881/,Киев,Квартиры,Днепровский,None,Регенераторная ул.,4,1,Левобережная,42.0,12.0,17.0,1,10,1701000,30.6222181,50.4357289,7182.192557774966,102.77,40500.0
